HMDB ID	KEGG ID	reference acc.
HMDB14509	C11368	HMDB0014509
HMDB0014509	C11368	HMDB0014509
HMDB14511	C08153	HMDB0014511
HMDB0014511	C08153	HMDB0014511
HMDB14513	C06909	HMDB0014513
HMDB0014513	C06909	HMDB0014513
HMDB14514	C07570	HMDB0014514
HMDB0014514	C07570	HMDB0014514
HMDB14516	C07132	HMDB0014516
HMDB0014516	C07132	HMDB0014516
HMDB14517	C07141	HMDB0014517
HMDB0014517	C07141	HMDB0014517
HMDB14520	C07171	HMDB0014520
HMDB0014520	C07171	HMDB0014520
HMDB14523	C07220	HMDB0014523
HMDB0014523	C07220	HMDB0014523
HMDB14526	C01453	HMDB0014526
HMDB0014526	C01453	HMDB0014526
HMDB14527	C07851	HMDB0014527
HMDB0014527	C07851	HMDB0014527
HMDB14531	C07378	HMDB0014531
