KEGG ID	MAPs
C00082	map00950
C00082	map00965
C00082	map00966
C00082	map00970
C00082	map00998
C00082	map01055
C00082	map01059
C00082	map01060
C00082	map01063
C00082	map01100
C00082	map01110
C00082	map01210
C00082	map01230
C00082	map04728
C00082	map04916
C00082	map04917
C00082	map04974
C00082	map05012
C00082	map05030
C00082	map05031
C00082	map05034
C00082	map05230
C00079	map00360
C00079	map00400
C00079	map00460
C00079	map00940
C00079	map00960
C00079	map00966
C00079	map00970
C00079	map00998
C00079	map01060
C00079	map01061
C00079	map01063
C00079	map01064
C00079	map01070
C00079	map01100
C00079	map01110
C00079	map01210
C00079	map01230
C00079	map02010
C00079	map04974
C00079	map04978
C00079	map05230
C00041	map00250
C00041	map00270
C00041	map00430
C00041	map00450
C00041	map00473
C00041	map00710
C00041	map00970
C00041	map00998
C00041	map01060
C00041	map01100
C00041	map01110
C00041	map01120
C00041	map01200
C00041	map01230
C00041	map01502
C00041	map02010
C00041	map04122
C00041	map04974
C00041	map04978
C00041	map05230
C00148	map00330
C00148	map00332
C00148	map00333
C00148	map00401
C00148	map00404
C00148	map00970
C00148	map01100
C00148	map01110
C00148	map01230
C00148	map02010
C00148	map04974
C00148	map04978
C00148	map05230
C00208	map00500
C00208	map01100
C00208	map01110
C00208	map02010
C00208	map02030
C00208	map02060
C00208	map04742
C00208	map04973
C00218	map00680
C00218	map01100
C00218	map01120
C00218	map01200
C00188	map00260
C00188	map00261
C00188	map00290
C00188	map00860
C00188	map00970
C00188	map00997
C00188	map01060
C00188	map01100
C00188	map01110
C00188	map01120
C00188	map01230
C00188	map02010
C00188	map04974
C00188	map04978
C00152	map00250
C00152	map00460
C00152	map00970
C00152	map01060
C00152	map01100
C00152	map01110
C00152	map01230
C00152	map04974
C00152	map04978
C00152	map05230
C00159	map00051
C00159	map00052
C00159	map00520
C00159	map01100
C00159	map02010
C00159	map02060
C00159	map04142
C00159	map04625
C00407	map00280
C00407	map00290
C00407	map00460
C00407	map00960
C00407	map00966
C00407	map00970
C00407	map01060
C00407	map01064
C00407	map01100
C00407	map01110
C00407	map01210
C00407	map01230
C00407	map02010
C00407	map04974
C00407	map04978
C00407	map05131
C00407	map05230
C00507	map00051
C00507	map01100
C00507	map01120
C00130	map00230
C00130	map01060
C00130	map01065
C00130	map01070
C00130	map01100
C00130	map01110
C00130	map01523
C00130	map04742
C00135	map00340
C00135	map00404
C00135	map00410
C00135	map00970
C00135	map01060
C00135	map01065
C00135	map01100
C00135	map01110
C00135	map01230
C00135	map02010
C00135	map04974
C00135	map05230
C00355	map00350
C00355	map00950
C00355	map00965
C00355	map01060
C00355	map01063
C00355	map01100
C00355	map01110
C00355	map04728
C00355	map04917
C00355	map05012
C00355	map05030
C00355	map05031
C00355	map05034
C00047	map00300
C00047	map00310
C00047	map00780
C00047	map00960
C00047	map00970
C00047	map00997
C00047	map01060
C00047	map01064
C00047	map01100
C00047	map01110
C00047	map01120
C00047	map01210
C00047	map01230
C00047	map02010
C00047	map04974
C00243	map00052
C00243	map01100
C00243	map02010
C00243	map02060
C00243	map04973
C00065	map00260
C00065	map00261
C00065	map00270
C00065	map00460
C00065	map00600
C00065	map00630
C00065	map00680
C00065	map00920
C00065	map00970
C00065	map00997
C00065	map01060
C00065	map01100
C00065	map01110
C00065	map01120
C00065	map01200
C00065	map01230
C00065	map01502
C00065	map02010
C00065	map04071
C00065	map04974
C00065	map04978
C00065	map05230
C00081	map00230
C00081	map01100
